oma_id;name;locus;old_locus;groupID;strain;eq
SALPB05127;SPAB_05340;SPAB_RS21735;SPAB_05340;4647;SALPB;0
SALPB03159;SPAB_03274;SPAB_RS13395;SPAB_03274;4961;SALPB;0
SALPB02101;SPAB_02188;SPAB_RS08900;SPAB_02188;5224;SALPB;0
SALPB01284;SPAB_01337;SPAB_RS05500;SPAB_01337;5265;SALPB;0
SALPB00144;SPAB_00146;SPAB_RS00575;SPAB_00146;1895;SALPB;0
SALPB02167;SPAB_02254;SPAB_RS09170;SPAB_02254;5278;SALPB;0
SALPB03161;SPAB_03276;SPAB_RS24525;SPAB_03276;5389;SALPB;0
SALPB05329;SPAB_05546;SPAB_RS22650;SPAB_05546;5460;SALPB;0
SALPB05165;SPAB_05377;SPAB_RS21885;SPAB_05377;5598;SALPB;0
SALPB03430;SPAB_03566;SPAB_RS14520;SPAB_03566;2430;SALPB;0
SALPB01087;SPAB_01126;SPAB_RS04705;SPAB_01126;5603;SALPB;0
SALPB02246;SPAB_02336;SPAB_RS09510;SPAB_02336;5741;SALPB;0
SALPB04731;SPAB_04917;SPAB_RS20000;SPAB_04917;2167;SALPB;0
SALPB01091;SPAB_01130;SPAB_RS04715;SPAB_01130;5910;SALPB;0
SALPB02336;SPAB_02427;SPAB_RS09860;SPAB_02427;6010;SALPB;0
SALPB01452;SPAB_01517;SPAB_RS06170;SPAB_01517;6371;SALPB;0
SALDC03748;SeD_A4146;SED_RS25485;SeD_A4146;6126;SALDC;0
SALPB04492;SPAB_04662;SPAB_RS24905;SPAB_04662;6126;SALPB;0
SALHS03027;SeHA_C3259;SEHA_RS15985;SeHA_C3259;6429;SALHS;0
SALHS04149;SeHA_C4481;SEHA_RS21695;SeHA_C4481;5016;SALHS;0
SALHS03770;SeHA_C4053;SEHA_RS19655;SeHA_C4053;6204;SALHS;0
SALHS04148;SeHA_C4480;SEHA_RS21690;SeHA_C4480;4322;SALHS;0
SALHS02843;SeHA_C3056;SEHA_RS15065;SeHA_C3056;2430;SALHS;0
SALHS03076;SeHA_C3313;SEHA_RS16225;SeHA_C3313;336;SALHS;0
SALHS04313;SeHA_C4661;SEHA_RS22525;SeHA_C4661;2510;SALHS;0
SALHS00614;SeHA_C0660;SEHA_RS03695;SeHA_C0660;3197;SALHS;0
SALHS03932;SeHA_C4231;SEHA_RS20505;SeHA_C4231;744;SALHS;0
SALHS03537;SeHA_C3809;SEHA_RS18530;SeHA_C3809;3233;SALHS;0
SALHS04336;SeHA_C4690;SEHA_RS22660;SeHA_C4690;1023;SALHS;0
SALHS04266;SeHA_C4609;SEHA_RS22265;SeHA_C4609;5145;SALHS;0
SALHS03593;SeHA_C3869;SEHA_RS18795;SeHA_C3869;1075;SALHS;0
SALHS00118;SeHA_C0130;SEHA_RS01150;SeHA_C0130;2001;SALHS;0
SALHS02483;SeHA_C2659;SEHA_RS13235;SeHA_C2659;1278;SALHS;0
SALHS04360;SeHA_C4718;SEHA_RS22785;SeHA_C4718;1423;SALHS;0
SALHS01258;SeHA_C1348;SEHA_RS06995;SeHA_C1348;3453;SALHS;0
SALHS04293;SeHA_C4638;SEHA_RS22415;SeHA_C4638;3507;SALHS;0
SALHS04541;SeHA_C4915;SEHA_RS23740;SeHA_C4915;2349;SALHS;0
SALHS04365;SeHA_C4724;SEHA_RS22820;SeHA_C4724;1427;SALHS;0
SALHS03425;SeHA_C3683;SEHA_RS17950;SeHA_C3683;5327;SALHS;0
SALHS02788;SeHA_C2995;SEHA_RS14785;SeHA_C2995;1512;SALHS;0
SALHS02105;SeHA_C2260;SEHA_RS11335;SeHA_C2260;1733;SALHS;0
SALHS01651;SeHA_C1767;SEHA_RS09060;SeHA_C1767;3508;SALHS;0
SALHS04350;SeHA_C4704;SEHA_RS22710;SeHA_C4704;2445;SALHS;0
SALHS00641;SeHA_C0692;SEHA_RS03835;SeHA_C0692;3830;SALHS;0
SALHS04526;SeHA_C4900;SEHA_RS23665;SeHA_C4900;2454;SALHS;0
SALHS01533;SeHA_C1643;SEHA_RS08470;SeHA_C1643;3205;SALHS;0
SALHS02256;SeHA_C2418;SEHA_RS12065;SeHA_C2418;2502;SALHS;0
SALHS01470;SeHA_C1580;SEHA_RS08105;SeHA_C1580;2627;SALHS;0
SALHS00605;SeHA_C0650;SEHA_RS03645;SeHA_C0650;2634;SALHS;0
SALHS04504;SeHA_C4875;SEHA_RS23540;SeHA_C4875;2758;SALHS;0
SALHS02872;SeHA_C3089;SEHA_RS15225;SeHA_C3089;3047;SALHS;0
SALHS00097;SeHA_C0105;SEHA_RS01050;SeHA_C0105;3133;SALHS;0
SALHS01504;SeHA_C1614;SEHA_RS08320;SeHA_C1614;4566;SALHS;0
SALHS04192;SeHA_C4533;SEHA_RS21915;SeHA_C4533;3757;SALHS;0
SALHS02851;SeHA_C3064;SEHA_RS15105;SeHA_C3064;2238;SALHS;0
SALHS01271;SeHA_C1363;SEHA_RS07085;SeHA_C1363;3952;SALHS;0
SALHS03361;SeHA_C3617;SEHA_RS17620;SeHA_C3617;842;SALHS;0
SALHS00214;SeHA_C0231;SEHA_RS01610;SeHA_C0231;3984;SALHS;0
SALHS02338;SeHA_C2510;SEHA_RS12505;SeHA_C2510;3395;SALHS;0
SALHS04378;SeHA_C4738;SEHA_RS22875;SeHA_C4738;4053;SALHS;0
SALHS00030;SeHA_C0033;SEHA_RS00715;SeHA_C0033;4483;SALHS;0
SALHS03794;SeHA_C4079;SEHA_RS19780;SeHA_C4079;5023;SALHS;0
SALHS02106;SeHA_C2261;SEHA_RS11340;SeHA_C2261;5443;SALHS;0
SALHS04328;SeHA_C4681;SEHA_RS22620;SeHA_C4681;5532;SALHS;0
SALHS00368;SeHA_C0397;SEHA_RS02445;SeHA_C0397;5666;SALHS;0
SALHS00395;SeHA_C0428;SEHA_RS02605;SeHA_C0428;5920;SALHS;0
SALHS03796;SeHA_C4083;SEHA_RS25700;SeHA_C4083;6126;SALHS;0
SALHS01082;SeHA_C1164;SEHA_RS06100;SeHA_C1164;6392;SALHS;0
SALHS00894;SeHA_C0966;SEHA_RS05130;SeHA_C0966;4394;SALHS;0
SALHS04499;SeHA_C4869;SEHA_RS23515;SeHA_C4869;1319;SALHS;0
SALHS04335;SeHA_C4689;SEHA_RS22655;SeHA_C4689;6433;SALHS;0
SALHS00979;SeHA_C1058;SEHA_RS05565;SeHA_C1058;4295;SALHS;0
SALHS04377;SeHA_C4737;SEHA_RS22870;SeHA_C4737;6450;SALHS;0
SALEP02692;SEN2717;SEN_RS14150;SEN2717;2238;SALEP;0
SALEP02922;SEN2948;SEN_RS15335;SEN2948;1930;SALEP;0
SALHS03105;SeHA_C3344;SEHA_RS16375;SeHA_C3344;1930;SALHS;0
SALPB01573;SPAB_01642;SPAB_RS06680;SPAB_01642;2984;SALPB;0
SALHS01695;SeHA_C1812;SEHA_RS09275;SeHA_C1812;2984;SALHS;0
SALHS00752;SeHA_C0813;SEHA_RS04405;SeHA_C0813;4467;SALHS;0
SALPB01575;SPAB_01644;SPAB_RS06685;SPAB_01644;5062;SALPB;0
SALHS01694;SeHA_C1811;SEHA_RS09270;SeHA_C1811;5062;SALHS;0
SALHS00114;SeHA_C0126;SEHA_RS01135;SeHA_C0126;1895;SALHS;0
SALPC00013;SPC_0013;SPC_RS00060;SPC_0013;394;SALPC;0
SALPC01509;SPC_1578;SPC_RS07895;SPC_1578;6020;SALPC;0
SALPC04297;SPC_4480;SPC_RS22330;SPC_4480;616;SALPC;0
SALPC01287;SPC_1336;SPC_RS06710;SPC_1336;2003;SALPC;0
SALPC02809;SPC_2941;SPC_RS14675;SPC_2941;3047;SALPC;0
SALPC01482;SPC_1548;SPC_RS07750;SPC_1548;280;SALPC;0
SALPC02396;SPC_2513;SPC_RS12525;SPC_2513;3453;SALPC;0
SALPC01236;SPC_1284;SPC_RS06410;SPC_1284;422;SALPC;0
SALPC03310;SPC_3456;SPC_RS17170;SPC_3456;5327;SALPC;0
SALPC02536;SPC_2659;SPC_RS13250;SPC_2659;529;SALPC;0
SALPC00118;SPC_0124;SPC_RS00580;SPC_0124;1895;SALPC;0
SALPC00435;SPC_0450;SPC_RS02225;SPC_0450;712;SALPC;0
SALPC02785;SPC_2917;SPC_RS14555;SPC_2917;2238;SALPC;0
SALPC00443;SPC_0458;SPC_RS02260;SPC_0458;798;SALPC;0
SALPC03864;SPC_4030;SPC_RS20050;SPC_4030;1084;SALPC;0
SALPC04180;SPC_4355;SPC_RS21705;SPC_4355;3507;SALPC;0
SALPC02642;SPC_2766;SPC_RS13810;SPC_2766;1142;SALPC;0
SALPC01483;SPC_1549;SPC_RS07755;SPC_1549;1640;SALPC;0
SALPC00840;SPC_0869;SPC_RS04305;SPC_0869;1778;SALPC;0
SALPC02786;SPC_2918;SPC_RS14560;SPC_2918;542;SALPC;0
SALPC00401;SPC_0415;SPC_RS02060;SPC_0415;1784;SALPC;0
SALPC01261;SPC_1309;SPC_RS06570;SPC_1309;1932;SALPC;0
SALPC03267;SPC_3413;SPC_RS16955;SPC_3413;2968;SALPC;0
SALPC02776;SPC_2908;SPC_RS14510;SPC_2908;3001;SALPC;0
SALPC01506;SPC_1575;SPC_RS07880;SPC_1575;3158;SALPC;0
SALPC03904;SPC_4071;SPC_RS20275;SPC_4071;2167;SALPC;0
SALPC02605;SPC_2729;SPC_RS13620;SPC_2729;3749;SALPC;0
SALPC00400;SPC_0414;SPC_RS02055;SPC_0414;3761;SALPC;0
SALPC04252;SPC_4434;SPC_RS22095;SPC_4434;4807;SALPC;0
SALPC00121;SPC_0127;SPC_RS00595;SPC_0127;2001;SALPC;0
SALPC04259;SPC_4441;SPC_RS22125;SPC_4441;5067;SALPC;0
SALPC00546;SPC_0564;SPC_RS02780;SPC_0564;3197;SALPC;0
SALPC00352;SPC_0365;SPC_RS01800;SPC_0365;4412;SALPC;0
SALPC02184;SPC_2287;SPC_RS11390;SPC_2287;4566;SALPC;0
SALPC00497;SPC_0514;SPC_RS02530;SPC_0514;4660;SALPC;0
SALPC04200;SPC_4376;SPC_RS21810;SPC_4376;5381;SALPC;0
SALPC02415;SPC_2532;SPC_RS12610;SPC_2532;5599;SALPC;0
SALPC00806;SPC_0833;SPC_RS04130;SPC_0833;4394;SALPC;0
SALPC01141;SPC_1185;SPC_RS05855;SPC_1185;5694;SALPC;0
SALPC04286;SPC_4468;SPC_RS22260;SPC_4468;5985;SALPC;0
SALPC00680;SPC_0702;SPC_RS03485;SPC_0702;4467;SALPC;0
SALPC02535;SPC_2658;SPC_RS13245;SPC_2658;6145;SALPC;0
SALDC00106;SeD_A0118;SED_RS00985;SeD_A0118;5432;SALDC;0
SALPC00112;SPC_0118;SPC_RS00550;SPC_0118;5432;SALPC;0
SALEP03191;SEN3219;SEN_RS16735;SEN3219;5327;SALEP;0
SALEP00283;SEN0288;SEN_RS01480;SEN0288;5775;SALEP;0
SALPB03182;SPAB_03298;SPAB_RS13495;SPAB_03298;5775;SALPB;0
SALPC00306;SPC_0316;SPC_RS01555;SPC_0316;5775;SALPC;0
SALBC00825;focA;SBG_RS04335;SBG_0828;2059;SALBC;0
SALBC03490;fdoG;NA;SBG_3550;59;SALBC;0
SALBC03489;fdoH;SBG_RS18510;SBG_3549;2309;SALBC;0
SALBC03488;fdoI;SBG_RS18505;SBG_3548;3531;SALBC;0
SALBC01462;SBG_1476;SBG_RS07620;SBG_1476;1914;SALBC;0
SALBC00351;sbcC;SBG_RS01825;SBG_0351;57;SALBC;0
SALBC02044;SBG_2088;SBG_RS10720;SBG_2088;340;SALBC;0
SALBC01461;SBG_1475;SBG_RS07615;SBG_1475;3633;SALBC;0
SALBC03355;glmS;SBG_RS17745;SBG_3414;438;SALBC;0
SALBC02920;sspA;SBG_RS15385;SBG_2971;3590;SALBC;0
SALBC00630;mngA;SBG_RS03310;SBG_0634;1263;SALBC;0
SALBC00860;SBG_0863;SBG_RS04505;SBG_0863;288;SALBC;0
SALBC02722;parE;SBG_RS14340;SBG_2774;397;SALBC;0
SALBC02248;SBG_2295;SBG_RS11815;SBG_2295;795;SALBC;0
SALBC01705;znuC;SBG_RS08910;SBG_1729;2814;SALBC;0
SALBC02654;SBG_2708;SBG_RS13970;SBG_2708;2909;SALBC;0
SALBC02410;gutR;SBG_RS12685;SBG_2457;2985;SALBC;0
SALBC03758;yjfQ;SBG_RS20045;SBG_3824;3046;SALBC;0
SALBC01176;infC;NA;SBG_1186;4049;SALBC;0
SALBC03901;holD;SBG_RS20810;SBG_3968;4555;SALBC;0
SALBC00636;ybgC;SBG_RS03340;SBG_0640;4696;SALBC;0
SALBC01591;hns;SBG_RS08270;SBG_1613;4704;SALBC;0
SALBC02839;gatB;SBG_RS14960;SBG_2890;5397;SALBC;0
SALBC01196;SBG_1207;SBG_RS06270;SBG_1207;5750;SALBC;0
SALBC01218;SBG_1229;SBG_RS06380;SBG_1229;2828;SALBC;0
SALBC02194;yfeF;SBG_RS11540;SBG_2241;2937;SALBC;0
SALBC02848;SBG_2899;SBG_RS15005;SBG_2899;2902;SALBC;0
SALBC01132;SBG_1141;SBG_RS05955;SBG_1141;2661;SALBC;0
SALBC03315;SBG_3373;SBG_RS17525;SBG_3373;2949;SALBC;0
SALBC01710;yebC;SBG_RS08935;SBG_1734;3155;SALBC;0
SALBC03106;SBG_3159;SBG_RS16415;SBG_3159;2973;SALBC;0
SALBC00940;copR;SBG_RS04905;SBG_0942;3090;SALBC;0
SALBC00327;mmuM;SBG_RS01700;SBG_0327;3547;SALBC;0
SALBC02201;maeB;SBG_RS11575;SBG_2248;225;SALBC;0
SALBC01464;SBG_1478;SBG_RS07630;SBG_1478;4708;SALBC;0
SALBC01613;prfA;SBG_RS08395;SBG_1635;1723;SALBC;0
SALBC02037;SBG_2081;SBG_RS10685;SBG_2081;4780;SALBC;0
SALBC01217;SBG_1228;SBG_RS06375;SBG_1228;5349;SALBC;0
SALBC03671;basR;SBG_RS19555;SBG_3733;3507;SALBC;0
SALBC02357;SBG_2403;SBG_RS12375;SBG_2403;2;SALBC;0
SALBC02438;sprB;SBG_RS12825;SBG_2487;3001;SALBC;0
SALBC03033;bigA;SBG_RS16025;SBG_3086;8;SALBC;0
SALBC00715;SBG_0720;SBG_RS03780;SBG_0720;4394;SALBC;0
SALBC03570;rpoB;SBG_RS18995;SBG_3632;18;SALBC;0
SALBC02448;iagA;SBG_RS12875;SBG_2497;542;SALBC;0
SALBC01079;SBG_1083;SBG_RS05645;SBG_1083;46;SALBC;0
SALBC00552;leuS;SBG_RS02875;SBG_0555;86;SALBC;0
SALBC03022;cap;SBG_RS15965;SBG_3074;3616;SALBC;0
SALBC02023;rcsB;SBG_RS10615;SBG_2067;3395;SALBC;0
SALBC03880;SBG_3945;SBG_RS20685;SBG_3945;95;SALBC;0
SALBC00856;pepN;SBG_RS04485;SBG_0859;96;SALBC;0
SALBC02470;invF;SBG_RS12990;SBG_2519;3047;SALBC;0
SALBC00090;araC;SBG_RS00455;SBG_0090;2591;SALBC;0
SALBC03070;malT;SBG_RS16220;SBG_3123;106;SALBC;0
SALBC03646;soxS;SBG_RS19425;SBG_3709;5145;SALBC;0
SALBC03863;SBG_3927;SBG_RS20590;SBG_3927;2349;SALBC;0
SALBC00476;SBG_0480;SBG_RS02485;SBG_0480;107;SALBC;0
SALBC02507;SBG_2559;SBG_RS13180;SBG_2559;112;SALBC;0
SALBC03054;ompR;SBG_RS16140;SBG_3107;3233;SALBC;0
SALBC03548;ppc;SBG_RS18835;SBG_3610;128;SALBC;0
SALBC00485;SBG_0488;SBG_RS02530;SBG_0488;3830;SALBC;0
SALBC01475;SBG_1491;SBG_RS07685;SBG_1491;147;SALBC;0
SALBC03702;SBG_3763;SBG_RS19720;SBG_3763;2510;SALBC;0
SALBC02473;mutS;SBG_RS13005;SBG_2523;149;SALBC;0
SALBC00441;cueR;SBG_RS02290;SBG_0444;4660;SALBC;0
SALBC01314;dmsA2;SBG_RS06860;SBG_1325;165;SALBC;0
SALBC00579;fur;SBG_RS03045;SBG_0583;4467;SALBC;0
SALBC03688;dmsA4;SBG_RS19650;SBG_3750;169;SALBC;0
SALBC01402;SBG_1413;SBG_RS07325;SBG_1413;3508;SALBC;0
SALBC01191;ppsA;SBG_RS06245;SBG_1201;189;SALBC;0
SALBC02439;hilC;SBG_RS12830;SBG_2488;2430;SALBC;0
SALBC00683;slrP;SBG_RS03615;SBG_0688;213;SALBC;0
SALBC00102;leuO;SBG_RS00520;SBG_0103;1895;SALBC;0
SALBC01854;phsA;SBG_RS09735;SBG_1889;222;SALBC;0
SALBC01064;phoP;SBG_RS05560;SBG_1067;3453;SALBC;0
SALBC02561;aas;SBG_RS13480;SBG_2615;266;SALBC;0
SALBC02659;speC;SBG_RS13995;SBG_2713;267;SALBC;0
SALBC02113;SBG_2158;SBG_RS11085;SBG_2158;301;SALBC;0
SALBC03203;malS;SBG_RS16910;SBG_3258;306;SALBC;0
SALBC01973;cirA;SBG_RS10330;SBG_2012;337;SALBC;0
SALBC01544;SBG_1565;SBG_RS08030;SBG_1565;342;SALBC;0
SALBC01181;himA;SBG_RS06195;SBG_1191;5341;SALBC;0
SALBC00070;SBG_0070;SBG_RS00355;SBG_0070;376;SALBC;0
SALBC03218;mtlA;SBG_RS17000;SBG_3273;391;SALBC;0
SALBC00728;SBG_0733;SBG_RS03845;SBG_0733;405;SALBC;0
SALBC03373;kup;SBG_RS17840;SBG_3433;407;SALBC;0
SALBC01139;sppA;SBG_RS05990;SBG_1148;416;SALBC;0
SALBC00486;ramA;SBG_RS02540;SBG_0489;5046;SALBC;0
SALBC02308;lepA;SBG_RS12110;SBG_2354;453;SALBC;0
SALBC01369;SBG_1379;SBG_RS07145;SBG_1379;454;SALBC;0
SALBC01934;yehU;SBG_RS10135;SBG_1972;465;SALBC;0
SALBC01587;oppA;SBG_RS08250;SBG_1608;475;SALBC;0
SALBC02952;fis;SBG_RS15560;SBG_3003;5327;SALBC;0
SALBC03438;metR;SBG_RS18220;SBG_3498;2167;SALBC;0
SALBC01942;dld;SBG_RS10175;SBG_1980;478;SALBC;0
SALBC00032;SBG_0032;SBG_RS00165;SBG_0032;485;SALBC;0
SALBC00038;SBG_0038;SBG_RS00195;SBG_0038;493;SALBC;0
SALBC01093;SBG_1101;SBG_RS05730;SBG_1101;499;SALBC;0
SALBC01773;fliF;SBG_RS09275;SBG_1798;500;SALBC;0
SALBC01788;SBG_1813;SBG_RS09360;SBG_1813;512;SALBC;0
SALBC00232;proS;SBG_RS01165;SBG_0233;515;SALBC;0
SALBC01661;SBG_1684;SBG_RS08650;SBG_1684;519;SALBC;0
SALBC01288;SBG_1299;SBG_RS06735;SBG_1299;528;SALBC;0
SALBC00105;fruR;SBG_RS00535;SBG_0106;2001;SALBC;0
SALBC00937;sopB;SBG_RS04880;SBG_0939;529;SALBC;0
SALBC02896;rpoN;SBG_RS15265;SBG_2947;842;SALBC;0
SALBC01437;SBG_1449;SBG_RS07500;SBG_1449;534;SALBC;0
SALBC03650;SBG_3713;SBG_RS19445;SBG_3713;560;SALBC;0
SALBC02313;nadB;SBG_RS12135;SBG_2359;589;SALBC;0
SALBC03310;yidE;SBG_RS17500;SBG_3368;596;SALBC;0
SALBC03172;dppA;SBG_RS16750;SBG_3224;599;SALBC;0
SALBC02698;SBG_2750;SBG_RS14215;SBG_2750;601;SALBC;0
SALBC03645;yjcC;SBG_RS19420;SBG_3708;602;SALBC;0
SALBC02034;glpA;SBG_RS10670;SBG_2078;605;SALBC;0
SALBC00319;prpR;SBG_RS01655;SBG_0319;611;SALBC;0
SALBC03372;yieN;SBG_RS17835;SBG_3432;615;SALBC;0
SALBC01359;pqaA;SBG_RS07095;SBG_1369;632;SALBC;0
SALBC03585;hydH;SBG_RS19075;SBG_3647;637;SALBC;0
SALBC01257;slyA;SBG_RS06585;SBG_1268;4566;SALBC;0
SALBC03910;SBG_3977;SBG_RS20855;SBG_3977;663;SALBC;0
SALBC01564;trpE;SBG_RS08135;SBG_1585;669;SALBC;0
SALBC03541;SBG_3603;SBG_RS18800;SBG_3603;671;SALBC;0
SALBC02447;SBG_2496;SBG_RS12870;SBG_2496;2238;SALBC;0
SALBC01604;SBG_1626;SBG_RS08350;SBG_1626;681;SALBC;0
